Japanese,English
行く (iku),go
見る (miru),see / look at
多い (ooi),a lot of / many
家 (ie),home / household
これ (kore),this / this one
それ (sore),that / that one
私 (watashi),I
仕事 (shigoto),work / job
いつ (itsu),when
する (suru),do / make
出る (deru),go out / leave
使う (tsukau),use / make use of
所 (tokoro),place
作る (tsukuru),make / create
思う (omou),think
持つ (motsu),have / possess
時間 (jikan),time / hour
知る (shiru),know
同じ (onaji),same / identical
今 (ima),now
新しい (atarashii),new
なる (naru),become
まだ (mada)(not),yet / still
あと (ato),after
聞く (kiku),hear / ask
言う (iu),say / tell
少ない (sukunai),few / little
高い (takai),high / tall
子供 (kodomo),child
そう (sou),so / that way
もう (mou),already / yet
学生 (gakusei),student
熱い (atsui),hot (to touch)
どうぞ (douzo),please
午後 (gogo),afternoon / p.m.
長い (nagai),long
本 (hon),book / volume
今年 (kotoshi),this year (colloquial)
よく (yoku),often / well
彼女 (kanojo),she / one's girlfriend
どう (dou),how / what
言葉 (kotoba),word / language
顔 (kao),face
終わる (owaru),finish / end
一つ (hitotsu),one (thing)
あげる (ageru),give / offer (colloquial)
こう (kou),like this / such
学校 (gakkou),school
くれる (kureru),be given
始める (hajimeru),start (something)
起きる (okiru),get up / get out of bed
春 (haru),spring
午前 (gozen),morning / a.m.
別 (betsu),another / different
どこ (doko),where
部屋 (heya),room
若い (wakai),young
車 (kuruma),car / automobile
置く (oku),put / place
